Result ID,Titel,Dag,DAG,Maand,MAAND,Jaar,URL full,URL cut out,keywords
1,Provinciale Overijsselsche en Zwolsche courant,04,4,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065486:mpeg21:p004:image&coords=MMHCO01:000065486:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065486:mpeg21:p004:image&coords=MMHCO01:000065486:p004:alto&w=1000&colour=fefe56&s=0.97082665890005&x=207&h=2000&y=1714,['hypothe*']
2,Provinciale Overijsselsche en Zwolsche courant,08,8,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000168845:mpeg21:p004:image&coords=MMHCO01:000168845:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000168845:mpeg21:p004:image&coords=MMHCO01:000168845:p004:alto&w=1000&colour=fefe56&s=0.99621438533572&x=1182&h=2000&y=2865,['hypothe*']
3,Provinciale Overijsselsche en Zwolsche courant,26,26,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065509:mpeg21:p004:image&coords=MMHCO01:000065509:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065509:mpeg21:p004:image&coords=MMHCO01:000065509:p004:alto&w=1000&colour=fefe56&s=0.49654898455733&x=633&h=2000&y=-841,['hypothe*']
4,Provinciale Overijsselsche en Zwolsche courant,31,31,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065513:mpeg21:p004:image&coords=MMHCO01:000065513:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065513:mpeg21:p004:image&coords=MMHCO01:000065513:p004:alto&w=1000&colour=fefe56&s=0.47714476572192&x=570&h=2000&y=-842,['hypothe*']
5,Provinciale Overijsselsche en Zwolsche courant,17,17,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065532:mpeg21:p004:image&coords=MMHCO01:000065532:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065532:mpeg21:p004:image&coords=MMHCO01:000065532:p004:alto&w=1000&colour=fefe56&s=0.98386462022826&x=1175&h=2000&y=-419,['hypothe*']
6,Provinciale Overijsselsche en Zwolsche courant,22,22,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065536:mpeg21:p004:image&coords=MMHCO01:000065536:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065536:mpeg21:p004:image&coords=MMHCO01:000065536:p004:alto&w=1000&colour=fefe56&s=0.48124353329002&x=89&h=2000&y=-670,['hypothe*']
7,Provinciale Overijsselsche en Zwolsche courant,23,23,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065537:mpeg21:p004:image&coords=MMHCO01:000065537:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065537:mpeg21:p004:image&coords=MMHCO01:000065537:p004:alto&w=1000&colour=fefe56&s=0.48246248854152&x=103&h=2000&y=-679,['hypothe*']
8,Provinciale Overijsselsche en Zwolsche courant,24,24,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065538:mpeg21:p004:image&coords=MMHCO01:000065538:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065538:mpeg21:p004:image&coords=MMHCO01:000065538:p004:alto&w=1000&colour=fefe56&s=0.46846087180568&x=59&h=2000&y=-615,['hypothe*']
9,Provinciale Overijsselsche en Zwolsche courant,25,25,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065539:mpeg21:p004:image&coords=MMHCO01:000065539:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065539:mpeg21:p004:image&coords=MMHCO01:000065539:p004:alto&w=1000&colour=fefe56&s=0.48690232739312&x=112&h=2000&y=-582,['hypothe*']
10,Provinciale Overijsselsche en Zwolsche courant,26,26,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065540:mpeg21:p004:image&coords=MMHCO01:000065540:p004:alto&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065540:mpeg21:p004:image&coords=MMHCO01:000065540:p004:alto&w=1000&colour=fefe56&s=0.48246248854152&x=84&h=2000&y=-326,['hypothe*']
