Entry,Titel,Dag,DAG,Maand,MAAND,Jaar,URL_full,URL_cut_out,keywords
2,Leeuwarder courant,04,4,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585904:mpeg21:p002:image&coords=ddd:010585904:mpeg21:p002:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585904:mpeg21:p002:image&coords=ddd:010585904:mpeg21:p002:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2052&h=2000&y=306,"['eerste*', 'hypothe*', 'hypothe*b*', 'Hypothe*r', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
3,Leeuwarder courant,07,7,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585905:mpeg21:p004:image&coords=ddd:010585905:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585905:mpeg21:p004:image&coords=ddd:010585905:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.54421768707483&x=550&h=2000&y=-380,"['eerste*', 'hypothe*']"
4,Leeuwarder courant,07,7,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585905:mpeg21:p006:image&coords=ddd:010585905:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585905:mpeg21:p006:image&coords=ddd:010585905:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0822510822511&x=1082&h=2000&y=2383,"['eerste*', 'hypothe*', 'notaris']"
5,Leeuwarder courant,09,9,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585906:mpeg21:p003:image&coords=ddd:010585906:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585906:mpeg21:p003:image&coords=ddd:010585906:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.1178180192265&x=74&h=2000&y=1129,"['onderpa*', 'Pandbrie*', 'soli*d*']"
6,Leeuwarder courant,11,11,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585907:mpeg21:p004:image&coords=ddd:010585907:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585907:mpeg21:p004:image&coords=ddd:010585907:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0972130787799&x=2102&h=2000&y=838,"['b*sch*kba*r', 'hypoth*', 'hypothe*', 'Ie']"
7,Leeuwarder courant,14,14,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585908:mpeg21:p004:image&coords=ddd:010585908:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585908:mpeg21:p004:image&coords=ddd:010585908:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.53087009608749&x=527&h=2000&y=-824,"['eerste*', 'hypothe*']"
8,Leeuwarder courant,21,21,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585911:mpeg21:p003:image&coords=ddd:010585911:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585911:mpeg21:p003:image&coords=ddd:010585911:mpeg21:p003:alto&w=1000&colour=fefe56&s=0.5380683346785&x=513&h=2000&y=561,"['hypothe*', 'le']"
9,Leeuwarder courant,28,28,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585914:mpeg21:p002:image&coords=ddd:010585914:mpeg21:p002:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585914:mpeg21:p002:image&coords=ddd:010585914:mpeg21:p002:alto&w=1000&colour=fefe56&s=1.1191315539142&x=3102&h=2000&y=4062,"['onderpa*', 'soli*d*']"
10,Leeuwarder courant,28,28,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585914:mpeg21:p004:image&coords=ddd:010585914:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585914:mpeg21:p004:image&coords=ddd:010585914:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.54955623334158&x=545&h=2000&y=-237,"['bil*k*', 'eerste*', 'gevr*g*', 'hypothe*', 'rente*', 'tegen']"
11,Leeuwarder courant,30,30,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585915:mpeg21:p004:image&coords=ddd:010585915:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585915:mpeg21:p004:image&coords=ddd:010585915:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.53715789756399&x=535&h=2000&y=-269,"['eerste*', 'hypothe*', 'Ie']"
12,Leeuwarder courant,04,4,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585917:mpeg21:p004:image&coords=ddd:010585917:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585917:mpeg21:p004:image&coords=ddd:010585917:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0946907498632&x=1084&h=2000&y=-662,"['bil*k*', 'gevr*g*', 'rente*', 'tegen']"
13,Leeuwarder courant,06,6,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585918:mpeg21:p004:image&coords=ddd:010585918:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585918:mpeg21:p004:image&coords=ddd:010585918:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0959504630391&x=111&h=2000&y=3532,"['a*ngebo*den', 'onderpa*']"
14,Leeuwarder courant,06,6,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585918:mpeg21:p006:image&coords=ddd:010585918:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585918:mpeg21:p006:image&coords=ddd:010585918:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0959504630391&x=105&h=2000&y=-816,"['eerste*', 'hypothe*', 'hypothe*b*', 'Hypothe*r', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
15,Leeuwarder courant,11,11,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p010:image&coords=ddd:010585920:mpeg21:p010:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p010:image&coords=ddd:010585920:mpeg21:p010:alto&w=1000&colour=fefe56&s=1.0810226474245&x=1098&h=2000&y=2742,"['a*ngebo*den', 'onderpa*', 'soli*d*']"
16,Leeuwarder courant,11,11,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p012:image&coords=ddd:010585920:mpeg21:p012:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p012:image&coords=ddd:010585920:mpeg21:p012:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2072&h=2000&y=2661,"['bil*k*', 'rente*']"
17,Leeuwarder courant,11,11,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p012:image&coords=ddd:010585920:mpeg21:p012:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585920:mpeg21:p012:image&coords=ddd:010585920:mpeg21:p012:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2072&h=2000&y=2661,"['bil*k*', 'rente*']"
18,Leeuwarder courant,20,20,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585924:mpeg21:p003:image&coords=ddd:010585924:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585924:mpeg21:p003:image&coords=ddd:010585924:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0725010725011&x=994&h=2000&y=1045,"['gevr*g*', 'rente*', 'tegen']"
19,Leeuwarder courant,22,22,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585925:mpeg21:p006:image&coords=ddd:010585925:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585925:mpeg21:p006:image&coords=ddd:010585925:mpeg21:p006:alto&w=1000&colour=fefe56&s=0.54143317361055&x=540&h=2000&y=1217,"['eerste*', 'hypothe*', 'le']"
20,Leeuwarder courant,25,25,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585926:mpeg21:p004:image&coords=ddd:010585926:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585926:mpeg21:p004:image&coords=ddd:010585926:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.5380683346785&x=547&h=2000&y=-148,"['eerste*', 'hypothe*', 'le']"
21,Leeuwarder courant,27,27,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585927:mpeg21:p004:image&coords=ddd:010585927:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585927:mpeg21:p004:image&coords=ddd:010585927:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0847163466753&x=2037&h=2000&y=-174,"['eerste*', 'hypothe*', 'Hypothe*r', 'le', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
22,Leeuwarder courant,27,27,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585927:mpeg21:p004:image&coords=ddd:010585927:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585927:mpeg21:p004:image&coords=ddd:010585927:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.115200178432&x=3119&h=2000&y=2236,"['1e', 'hypothe*', 'Ie']"
23,Leeuwarder courant,01,1,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585928:mpeg21:p004:image&coords=ddd:010585928:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585928:mpeg21:p004:image&coords=ddd:010585928:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0959504630391&x=103&h=2000&y=3681,"['b*sch*kba*r', 'hypoth*']"
24,Leeuwarder courant,13,13,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585933:mpeg21:p006:image&coords=ddd:010585933:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585933:mpeg21:p006:image&coords=ddd:010585933:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0909289259805&x=102&h=2000&y=-580,"['eerste*', 'hypothe*', 'Hypothe*r', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
25,Leeuwarder courant,18,18,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585935:mpeg21:p002:image&coords=ddd:010585935:mpeg21:p002:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585935:mpeg21:p002:image&coords=ddd:010585935:mpeg21:p002:alto&w=1000&colour=fefe56&s=1.0871928680148&x=1063&h=2000&y=4254,"['eerste*', 'hypothe*', 'Ie', 'notaris']"
26,Leeuwarder courant,18,18,03,3,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585935:mpeg21:p006:image&coords=ddd:010585935:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585935:mpeg21:p006:image&coords=ddd:010585935:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0946907498632&x=117&h=2000&y=1527,"['hypothe*', 'Ie', 'le', 'lste', 'notaris']"
